NAME;TITLE;AUTHOR;MANUFACTURER;PART_MASS;PART_COST;PART_CRASHTOLERANCE;PART_MAXTEMP;MISSILE_THRUST;MISSILE_BOOSTTIME;MISSILE_CRUISETHRUST;MISSILE_CRUISETIME;MISSILE_MAXTURNRATEDPS;MISSILE_BLASTPOWER;MISSILE_BLASTHEAT;MISSILE_BLASTRADIUS;MISSILE_GUIDANCEACTIVE;MISSILE_HOMINGTYPE;MISSILE_TARGETINGTYPE;MISSILE_MINLAUNCHSPEED;MISSILE_MINSTATICLAUNCHRANGE;MISSILE_MAXSTATICLAUNCHRANGE;MISSILE_OPTIMUMAIRSPEED;CRUISE_TERMINALMANEUVERING; CRUISE_TERMINALGUIDANCETYPE; CRUISE_TERMINALGUIDANCEDISTANCE;RADAR_ACTIVERADARRANGE;RADAR_RADARLOAL;TRACK_MAXOFFBORESIGHT;TRACK_LOCKEDSENSORFOV;HEAT_HEATTHRESHOLD;LASER_BEAMCORRECTIONFACTOR; LASER_BEAMCORRECTIONDAMPING
HQ-9;CN HQ-9B Intercept Missile;BahamutoD & Kerwis;Kerbal Liberation Army;1.3;950;5;1523.15;200;5;65;55;200;25;-1;150;True;aam;radar;0;2;250000;800;False;;0;250000;True;180;50;150;0;0
KD20;CN KD20 AIR-GROUND Missile;BahamutoD & Kerwis;Kerbal Liberation Army;2.5;650;5;1523.15;60;5;24;200000;50;25;-1;150;True;cruise;gps;50;0;1500000;330;False;radar;20000;20000;True;360;30;150;0;0
LS6;CN LS6;BahamutoD & Kerwis;Kerbal Liberation Army;0.5;950;5;1523.15;0;0;1.5;80;40;25;-1;150;True;cruise;laser;0;0;20000;300;False;laser;10000;6000;False;360;2.5;150;0;0
PL-10A;CN PL-10E Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.085;950;5;1523.15;25;6;10;45;65;25;-1;150;True;aam;heat;0;100;15000;750;False;;0;6000;False;270;60;50;0;0
PL-12;CN PL-12 AMRAAM Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.14;950;5;1523.15;40;2.2;15;10;65;25;-1;150;True;aam;radar;0;0;100000;980;False;;0;70000;True;60;30;150;0;0
PL-15;CN PL-15 Air-Air Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.18;950;5;1523.15;55;5;40;15;60;25;-1;150;True;aam;radar;0;0;150000;1600;False;;0;150000;True;160;60;150;0;0
PL-8B;CN PL-8 Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.115;950;5;1523.15;30;2.2;3;10;50;25;-1;150;True;aam;heat;0;0;8000;680;False;;0;6000;False;70;2.5;150;0;0
YJ-83;CN YJ83 SHIP-SHIP Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.85;650;5;1523.15;60;3;15;200;35;25;-1;150;True;cruise;laser;0;0;40000;320;False;radar;10000;10000;True;60;30;150;0;0
YJ-83K;CN YJ83K AIR-SHIP Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.85;650;5;1523.15;45;8;18;200;35;25;-1;150;True;cruise;laser;0;0;40000;320;False;radar;10000;10000;True;60;30;150;0;0
YJ12;CN YJ-12 Air-Ship Missile;BahamutoD & Kerwis;Kerbal Liberation Army;2.2;950;5;1523.15;350;15;120;150;250;25;-1;150;True;agmballistic;radar;0;0;100000;900;False;;0;20000;False;60;30;150;0;0
YJ18;CN YJ-18 Anti-Ship Missile;BahamutoD & Kerwis;Kerbal Liberation Army;1.8;950;500;1523.15;12;120;200;12;250;25;-1;150;True;cruise;radar;0;0;300000;900;False;;0;20000;False;60;30;150;0;0
YJ9;CN YJ-9 Small-sized Multi-function Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.1;950;5;1523.15;20;2.2;3;20;65;25;-1;150;True;agm;radar;0;0;35000;300;False;;0;7000;True;60;30;150;0;0
YU6;CN YU-6;BahamutoD & Kerwis;Kerbal Liberation Army;1.2;950;80;500;1;5;26;500;35;25;-1;150;True;aam;radar;0;0;15000;40;False;radar;1000;8000;True;270;7;150;0;0
YU-7;CN YU-7;BahamutoD & Kerwis;Kerbal Liberation Army;0.235;950;80;500;1;5;10;300;45;70;155;10;True;aam;radar;0;0;10000;45;False;radar;1000;8000;True;270;7;150;0;0
METEOR;EU METEOR Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.14;950;5;1523.15;40;2.2;8;100;40;25;-1;150;True;aam;radar;0;500;150000;1050;False;;0;60000;True;60;5;150;0;0
MICA.IR;EU MICA-IR Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.112;950;5;1523.15;33;2.2;3;10;70;25;-1;150;True;aam;heat;0;0;8000;680;False;;0;6000;False;180;2.5;120;0;0
9M114;RU 9M114 Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.05;650;5;1523.15;5;3;2;10;30;25;-1;150;True;agm;laser;0;500;15000;400;False;;0;6000;False;360;2.5;150;0;0
9M120;RU 9M120 Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.05;650;5;1523.15;5;3;2;10;30;25;-1;150;True;beamriding;laser;0;500;15000;400;False;;0;6000;False;360;2.5;150;4.5;0.0075
9M121;RU 9M121 Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.05;650;5;1523.15;5;5;3;6;30;25;-1;150;True;agm;laser;0;500;15000;400;False;;0;6000;False;360;2.5;150;0;0
KH-41;RU KH-41 AIR-GROUND Missile;BahamutoD & Kerwis;Kerbal Liberation Army;3.72;650;100;1523.15;500;5;150;4000;40;25;-1;150;True;cruise;gps;0;0;100000;220;False;radar;20000;20000;True;360;20;150;0;0
RVV-AE-PD;RU RVV-AE-PD Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.205;950;5;1523.15;100;5;50;120;65;25;-1;150;True;aam;radar;0;2000;160000;770;False;;0;160000;True;35;30;150;0;0
SS-26;RU 9K723 Iskander-M (SS-26)（SS-26）;BahamutoD & Kerwis;Kerbal Liberation Army;3.8;950;5;1523.15;400;120;100;360;80;25;-1;150;True;agmballistic;gps;0;0;480000;600;False;laser;20000;6000;False;360;2.5;150;0;0
VA-111;RU VK-111 Torpedo;BahamutoD & Kerwis;Kerbal Liberation Army;0.27;950;80;500;100;5;65;300;30;25;-1;150;True;aam;radar;0;5;10000;220;False;;0;1000;True;50;5;150;0;0
AIM-120D;US AIM-120D AMRAAM Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.15;950;5;1523.15;50;5;35;20;65;25;-1;150;True;aam;radar;0;0;185000;1250;False;;0;180000;True;160;60;150;0;0
AIM9X;US AIM9X Sidewinder Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.085;950;5;1523.15;45;5;12;40;85;25;-1;150;True;aam;heat;0;200;12000;780;False;;0;6000;False;300;80;45;0;0
ALASM;US ALASM-N;BahamutoD & Kerwis;Kerbal Liberation Army;0.8;4000;500;1523.15;120;20;40;300;250;25;-1;150;True;aam;radar;0;16000;400000;1200;False;;0;50000;False;180;30;150;0;0
TOW2B;US TOW2B Missile;BahamutoD & Kerwis;Kerbal Liberation Army;0.02;120;5;1523.15;24;0.12;1;5.5;20;30;-1;20;True;agmballistic;laser;0;20;3500;200;False;;0;6000;False;360;2.5;150;0;0
aam.AIM4A;AIM-4A Falcon;Toonu;Kerbal Kombat Anthology;0.061;2400;5;1523.15;16;4.7;9;6;10;25;-1;150;True;aam;radar;0;200;9700;1000;False;heat;0;0;False;10;2;320;0;0
aam.AIM7E;AIM-7E Sparrow;Toonu;Kerbal Kombat Anthology;0.197;2400;5;1523.15;30;10;28;10;15;25;-1;150;True;aam;radar;0;200;43000;1372;False;heat;0;0;False;20;3;320;0;0
aam.AIM9B;AIM-9B Sidewinder;Toonu;Kerbal Kombat Anthology;0.07;1200;5;1523.15;6;8;4;0;15;25;-1;150;True;aam;heat;0;200;4800;583.1;False;heat;0;0;False;35;6;285;0;0
aam.AIM9D;AIM-9D Sidewinder;Toonu;Kerbal Kombat Anthology;0.085;1200;5;1523.15;20;4;6;0;21;25;-1;150;True;aam;heat;0;200;4800;600;False;heat;0;0;False;90;6;285;0;0
aam.AIM9L;AIM-9L Sidewinder;Toonu;Kerbal Kombat Anthology;0.085;1200;5;1523.15;10;2;4;8;1;25;-1;150;True;aam;heat;0;200;4000;894;False;heat;0;0;False;90;10;320;0;0
aam.AIM9M;AIM-9M Sidewinder;Toonu;Kerbal Kombat Anthology;0.085;1200;5;1523.15;10;2;4;8;1;25;-1;150;True;aam;heat;0;200;4000;894;False;heat;0;0;False;90;10;320;0;0
aam.AIM9P;AIM-9P Sidewinder;Toonu;Kerbal Kombat Anthology;0.085;1200;5;1523.15;10;2;4;8;1;25;-1;150;True;aam;heat;0;200;4000;894;False;heat;0;0;False;90;10;320;0;0
aam.Firestreak;de Havilland Firestreak;Toonu;Kerbal Kombat Anthology;0.136;2400;5;1523.15;42;2.5;60;0;12;25;-1;150;True;aam;heat;0;200;6400;1029;False;heat;0;0;False;60;8;270;0;0
aam.K5;K-5;Toonu;Kerbal Kombat Anthology;0.0827;2400;5;1523.15;12;6;5;1;8;25;-1;150;True;aam;radar;0;200;6000;800;False;heat;0;0;False;8;3;320;0;0
aam.R23R;R-23R;Toonu;Kerbal Kombat Anthology;0.22;2400;5;1523.15;50;5;12;35;33;25;-1;150;True;aam;radar;0;200;35000;1000;False;heat;0;0;False;35;4;320;0;0
aam.R3R;R-3R;Toonu;Kerbal Kombat Anthology;0.09;2400;5;1523.15;20;4;0;0;22;25;-1;150;True;aam;radar;0;200;4000;857;False;heat;0;0;False;20;4;320;0;0
aam.R-3;R-3;Toonu;Kerbal Kombat Anthology;0.09;2400;5;1523.15;20;4;0;0;22;25;-1;150;True;aam;heat;0;200;4000;857;False;heat;0;0;False;20;6;245;0;0
aam.R40R;R-40R;Toonu;Kerbal Kombat Anthology;0.45;2400;5;1523.15;40;4.5;15;240;7.5;25;-1;150;True;aam;radar;0;4000;50000;575;False;heat;0;0;False;20;2;320;0;0
aam.R40T;R-40T;Toonu;Kerbal Kombat Anthology;0.45;2400;5;1523.15;40;4.5;15;240;7.5;25;-1;150;True;aam;heat;0;1000;25000;575;False;heat;0;0;False;60;10;10;0;0
aam.R511;R.511;Toonu;Kerbal Kombat Anthology;0.184;2400;5;1523.15;12;10;5;0;15;25;-1;150;True;aam;radar;0;200;7000;617.4;False;heat;0;0;False;8;3;320;0;0
aam.R530;R.530;Toonu;Kerbal Kombat Anthology;0.192;2400;5;1523.15;40;2;20;6.5;15;25;-1;150;True;aam;radar;0;1500;20000;926.1;False;heat;0;0;False;8;3;320;0;0
aam.R530E;R.530;Toonu;Kerbal Kombat Anthology;0.192;2400;5;1523.15;40;2;20;6.5;15;25;-1;150;True;aam;heat;0;1500;20000;926.1;False;heat;0;0;False;80;10;60;0;0
aam.R550;R.550 Magic I;Toonu;Kerbal Kombat Anthology;0.172;2400;5;1523.15;18;6;5;10;15;25;-1;150;True;aam;radar;0;200;7600;600;False;heat;0;0;False;30;3;320;0;0
aam.R98R;R-8R;Toonu;Kerbal Kombat Anthology;0.29;2400;5;1523.15;17;14;12;0;10;25;-1;150;True;aam;radar;0;200;15000;575;False;heat;0;0;False;20;4;320;0;0
aam.R98T;R-8T;Toonu;Kerbal Kombat Anthology;0.29;2400;5;1523.15;17;14;12;0;10;25;-1;150;True;aam;heat;0;200;15000;575;False;heat;0;0;False;50;10;180;0;0
aam.R98MR;R-98MR;Toonu;Kerbal Kombat Anthology;0.29;2400;5;1523.15;22;4.5;12;40;10;25;-1;150;True;aam;radar;0;200;23000;686;False;heat;0;0;False;20;4;320;0;0
aam.R98MT;R-98MT;Toonu;Kerbal Kombat Anthology;0.25;2400;5;1523.15;22;4.5;12;40;10;25;-1;150;True;aam;heat;0;1000;13000;686;False;heat;0;0;False;50;10;50;0;0
aam.RedTop;British Aerospace Red Top;Toonu;Kerbal Kombat Anthology;0.154;2400;5;1523.15;35;5;22;0;20;25;-1;150;True;aam;heat;0;200;12000;1400;False;heat;0;0;False;40;10;200;0;0
aam.VelvetGlove;Velvet Glove;Toonu;Kerbal Kombat Anthology;0.144;2000;5;1523.15;35;1.9;0;20;10;25;-1;150;True;aam;heat;0;200;4500;789;False;heat;0;0;False;40;10;5;0;0
agm.AGM12C;AGM-12C Bullpup;Toonu;Kerbal Kombat Anthology;0.81;2400;5;1523.15;147;3.5;20;20;3;25;-1;150;True;beamriding;laser;0;200;19000;600;False;heat;0;0;True;40;7;320;1;0.0075
agm.AGM28;AGM-28 Hound Dog;Toonu;Kerbal Kombat Anthology;4.63;2400;5;1523.15;60;6;60;900;15;25;-1;150;True;cruise;gps;125;200;100000;720;False;radar;0;200000;True;360;7;100;0;0
agm.AGM45;AGM-45B Shrike;Toonu;Kerbal Kombat Anthology;0.177;2400;5;1523.15;36;60;0;0;15;25;-1;150;True;agm;antirad;0;200;16000;514.5;False;heat;0;0;True;60;7;320;0;0
agm.AUMN2;AUM-N-2 Petrel;Toonu;Kerbal Kombat Anthology;1.7;4000;5;1523.15;50;2;8;120;25;25;-1;150;True;beamriding;laser;0;2000;32000;168;False;;0;0;False;180;30;5;0;0
agm.Kh22;Kh-22;Toonu;Kerbal Kombat Anthology;5.82;2400;5;1523.15;320;5;150;300;10;25;-1;150;True;agm;radar;0;10000;480000;1577.8;False;radar;38000;38000;True;60;20;100;0;0
agm.Kh66;Kh-66 Grom;Toonu;Kerbal Kombat Anthology;0.3;2400;5;1523.15;40;0;90;10;2;25;-1;150;True;beamriding;laser;0;100;9000;700;False;heat;0;0;False;30;10;320;1;0.0075
agm.KS1;KS-1 Komet;Toonu;Kerbal Kombat Anthology;3;2400;5;1523.15;70;5;40;290;25;25;-1;150;True;cruise;laser;125;700;90000;309;False;radar;10000;10000;True;100;100;5;0;0
agm.KSR2;KSR-2;Toonu;Kerbal Kombat Anthology;4.1;2400;5;1523.15;40;20;25;800;7;25;-1;150;True;cruise;gps;125;25000;200000;347;False;heat;0;38000;False;360;7;100;0;0
agm.RB04C;RB-04C;Toonu;Kerbal Kombat Anthology;0.6;2400;5;1523.15;2.5;100;0;0;12;25;-1;150;True;agm;radar;0;200;32000;250;False;;0;32000;True;60;10;320;0;0
sam.3M8;3M8 Krug;Toonu;Kerbal Kombat Anthology;2.45;4000;5;1523.15;450;6;250;35;30;25;-1;150;True;aam;radar;0;8000;55000;1372;False;heat;0;0;False;120;20;100;0;0
sam.3M9;3M9M1 Kub;Toonu;Kerbal Kombat Anthology;0.6;4000;5;1523.15;200;10;150;60;12;25;-1;150;True;aam;radar;0;6000;24000;960.4;False;heat;0;0;False;60;15;100;0;0
sam.9M317;9M317 Buk;Toonu;Kerbal Kombat Anthology;0.69;4000;5;1523.15;550;6;180;120;38;25;-1;150;True;aam;radar;0;2000;35000;1029;False;heat;0;0;False;120;15;100;0;0
sam.9M32;9M32 Strela-2;Toonu;Kerbal Kombat Anthology;0.0098;2400;5;1523.15;5.4;1;1;6;15;25;-1;150;True;aam;heat;0;200;3700;430;False;heat;0;0;False;70;10;50;0;0
sam.BloodhoundMk1;Bristol Bloodhound Mk. 1;Toonu;Kerbal Kombat Anthology;2.27;4000;5;1523.15;250;6.6;23;82;19;25;-1;150;True;aamlead;radar;0;2000;58000;755;False;heat;0;0;True;120;7;100;0;0
sam.BloodhoundMk2;BristolBloodhound Mk. 2;Toonu;Kerbal Kombat Anthology;2.27;4000;5;1523.15;320;6.5;23;220;19;25;-1;150;True;aamlead;radar;0;2000;150000;755;False;heat;0;0;True;180;7;100;0;0
sam.CIM10;CIM-10 Bomarc;Toonu;Kerbal Kombat Anthology;7;4000;5;1523.15;450;15;250;500;60;25;-1;150;True;aam;radar;0;2000;320000;891;False;radar;16000;16000;True;120;20;100;0;0
sam.FIM43;FIM-43 Redeye;Toonu;Kerbal Kombat Anthology;0.0083;1200;5;1523.15;3.3;0.1;1.1;5.8;12;25;-1;150;True;aam;heat;0;200;4500;580;False;heat;0;0;False;90;8;50;0;0
sam.GWS20;GWS.20 Seacat;Toonu;Kerbal Kombat Anthology;0.068;2400;5;1523.15;2;14;1;2;10;25;-1;150;True;aam;radar;0;200;5000;274.4;False;heat;0;0;False;90;3;320;0;0
sam.Masurca;Masurca;Toonu;Kerbal Kombat Anthology;2.1;2400;5;1523.15;170;5;80;20;30;25;-1;150;True;aam;radar;0;200;55000;1029;False;heat;0;0;False;60;6;320;0;0
sam.MIM23;MIM-23A Hawk;Toonu;Kerbal Kombat Anthology;0.59;4000;5;1523.15;200;5;120;32;40;25;-1;150;True;aam;radar;0;2000;24000;823.2;False;heat;0;0;False;180;15;100;0;0
sam.MIM3;MIM-3 Nike Ajax;Toonu;Kerbal Kombat Anthology;1.12;4000;5;1523.15;240;3.5;12;200;8;25;-1;150;True;aam;radar;0;5000;48000;771.5;False;heat;0;0;True;180;15;100;0;0
sam.MIM72;MIM-72 Chaparral;Toonu;Kerbal Kombat Anthology;0.085;1200;5;1523.15;12.2;4.7;4;0;21;25;-1;150;True;aam;heat;0;200;5000;894;False;heat;0;0;False;40;3;240;0;0
sam.RIM2;RIM-2B Terrier;Toonu;Kerbal Kombat Anthology;1.08;4000;5;1523.15;150;6;104;25;20;25;-1;150;True;aam;radar;0;2000;18000;1029;False;heat;0;0;False;90;10;100;0;0
sam.RIM24;RIM-24A Tartar;Toonu;Kerbal Kombat Anthology;0.59;2400;5;1523.15;52;4;10.5;22;30;25;-1;150;True;aam;radar;0;200;16100;1029;False;heat;0;0;False;30;3;320;0;0
sam.RIM8;RIM-8A Talos;Toonu;Kerbal Kombat Anthology;3.5;4000;5;1523.15;460;5;90;90;20;25;-1;150;True;aam;radar;0;2000;92000;857.5;False;heat;0;0;False;90;10;100;0;0
sam.5V21;5V21 S-200A Angara;Toonu;Kerbal Kombat Anthology;7.1;4000;5;1523.15;600;5.1;290;150;15;25;-1;150;True;aam;radar;0;17000;180000;1372;False;heat;0;0;False;120;25;100;0;0
sam.S25;S-25 Berkut;Toonu;Kerbal Kombat Anthology;1.2;4000;5;1523.15;120;6;65;60;10;25;-1;150;True;aam;radar;0;2000;30000;857.5;False;heat;0;0;False;60;15;100;0;0
ssm.9M14;9M14 Malyutka;Toonu;Kerbal Kombat Anthology;0.01;4000;5;1523.15;0;0;1;14;28;25;-1;150;True;beamriding;laser;0;500;3000;115;False;heat;0;0;False;45;5;320;1;0.0075
ssm.SS11;SS.11;Toonu;Kerbal Kombat Anthology;0.03;4000;5;1523.15;3;2;0.25;6;25;25;-1;150;True;beamriding;laser;0;500;3000;250;False;heat;0;0;False;45;5;320;1;0.0075
ssm.Swingfire;Swingfire;Toonu;Kerbal Kombat Anthology;0.027;4000;5;1523.15;2.1;2;0.52;17;25;25;-1;150;True;beamriding;laser;0;500;4000;185;False;heat;0;0;False;45;5;320;1;0.0075
THERIM-116;RIM-116 Rolling Airframe Missile;Spanner/Kergan/Themorris;MalFunc Industries;0.0735;700;8;1523.15;200;0.1;10;10;45;25;-1;150;True;aam;heat;0;500;9000;630;False;;0;6000;False;180;7;30;0;0
THERIM-67B;RIM-67B Standard Missile 2 Block I.;Spanner/Kergan/Themorris;MalFunc Industries;0.35;700;8;1523.15;110;5.9;80;62;32;25;-1;150;True;aam;radar;0;1000;185000;700;False;;0;40000;True;180;7;150;0;0
HHQ16C;HQ-16A Red Flag;Johnny005611;Johnny005611;0.15;2000;500;1523.15;50;5;20;600;80;25;-1;150;True;aam;radar;0;500;80000;1280;True;radar;2000000;500000;True;180;360;150;0;0
HHQ17;HQ-17A Red Banner;Johnny005611;Johnny005611;0.5;2000;500;1523.15;120;5;30;600;80;25;-1;150;True;aam;radar;0;2000;400000;1400;False;;0;500000;True;360;360;150;0;0
HHQ19;HQ-9 Red Banner;Johnny005611;Johnny005611;1.5;2000;50;1523.15;360;3;160;1200;80;25;-1;150;True;aam;radar;0;20000;1200000;1600;True;radar;2000000;5000000;True;360;360;150;0;0
HHQ19RCS;HQ-19 Red Banner;Johnny005611;Johnny005611;0.01;4000;50;1523.15;100;0.5;2;2000;80;25;-1;150;True;rcs;radar;0;0;2000000;220;True;radar;2E+07;2E+07;True;360;360;150;0;0
LRASM-A;AGM-158C LRASM;Johnny005611;Johnny005611;1.05;2000;50;1523.15;50;4;20;600;30;25;-1;150;True;cruise;radar;0;0;1200000;300;False;;0;20000;True;360;360;150;0;0
